input,label
do iran and afghanistan speak the same language,True
do good samaritan laws protect those who help at an accident,True
is windows movie maker part of windows essentials,True
is confectionary sugar the same as powdered sugar,True
is elder scrolls online the same as skyrim,False
can you use oyster card at epsom station,False
will there be a season 4 of da vinci's demons,False
is the federal court the same as the supreme court,False
did abraham lincoln write the letter in saving private ryan,True
is batman and robin a sequel to batman forever,True
is a wolverine the same as a badger,False
will there be a green lantern 2 movie,False
does the icc has jurisdiction in the united states,False
calcium carbide cac2 is the raw material for the production of acetylene,True
is there a now you see me 3 coming out,True
does a penalty shoot out goal count towards the golden boot,False
will there be a new season of cutthroat kitchen,False
is jack sikma in the hall of fame,True
can elves and humans mate lord of the rings,True
the boy in the plastic bubble based on true story,True
science begins with the premise that knowledge should first be acquired through observation,True
is tim brown in the hall of fame,True
can you drink alcohol in public in denmark,True
is jersey currency legal tender in the uk,False
have the milwaukee bucks ever won a championship,True
does the world cup final go to penalties,True
is kingdom manga based on a true story,True
is croatia part of the european economic area,True
can u marry a dead person in france,True
is saline and sodium chloride the same thing,False
is there a treatment for the bubonic plague,True
does buffy's mom know she's a slayer,True
was the leaning tower of pisa built leaning,False
is the movie fool's gold a true story,False
has any nfl team played the superbowl at home,False
does each australian state have its own constitution,True
can you have a right and left bundle branch block,True
do you always have to say check in chess,False
is an australian shepherd the same as an australian cattle dog,False
is tomato puree and tomato sauce the same thing,False
is the blues brothers based on a true story,False
is newcastle upon tyne the same as newcastle,True
is post office and royal mail the same,False
has any supreme court nominee not been confirmed,True
is thanksgiving always the last thursday of the month,True
is lord of the rings after the hobbit,True
is the fallen movie going to have a sequel,False
does anyone on instagram have 1 billion followers,False
in the phantom menace is padme the queen,True
is lord of the rings considered an epic,True
does the euro sign go before the number,True
can stainless steel be used on induction cooktop,True
is job termination the same as being fired,True
does age have any influence on attentional ability or inattentional blindness,True
is sanskrit the first language of the world,False
is a jack russell considered a small breed,True
does air force one travel with fighter escort,False
is it legal to own an ar15 in california,False
is the national anthem and star spangled banner the same,True
is there an international airport in naples italy,True
can you buy cadburys creme eggs all year round,False
do homologous chromosomes carry information for the same traits,True
has michigan ever won a national championship in football,True
you can tell a lot about a person by how they treat their waiter,True
are there any crocodiles native to north america,True
does lex luthor know who superman is in smallville,True
do you have to have a college degree to take the bar exam,True
will there be a season 2 of marvel's iron fist,True
is 844 a toll free number in canada,True
does any other country have daylight savings time,True
has anyone ever pitched back to back no hitters,True
is there a black bike week in myrtle beach,True
are static shock and black lightning the same person,False
is there such a thing as unbreakable glass,True
can liquid latex be used as an adhesive,True
is it illegal to carry a pistol in your car in texas,False
is it legal to carry a sgian dubh,True
